                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.87632,                 1.0706,                  1.149,                0.49987,                 0.6875,                0.71552,                0.50467,                  1.324,                 1.8157,                 1.6778,             0.00020835,             0.00020835,             0.00020835
                     64,                0.84582,                0.97535,                 1.1233,                0.79326,                0.47917,                0.72173,                0.50102,                 1.3892,                 1.6943,                 1.7648,             0.00020314,             0.00020314,             0.00020314
                     65,                0.84157,                 1.0913,                 1.1494,                0.51643,                 0.6875,                0.70618,                0.50807,                 1.4003,                 1.8558,                 1.7953,             0.00019793,             0.00019793,             0.00019793
                     66,                0.90584,                  1.095,                 1.1652,                0.47197,                0.69968,                0.62698,                0.42686,                 1.3979,                  1.799,                 1.7449,             0.00019273,             0.00019273,             0.00019273
                     67,                 0.8249,                 1.0154,                 1.1206,                0.73563,                 0.5218,                0.65348,                 0.4738,                 1.4278,                 1.7459,                 1.6316,             0.00018752,             0.00018752,             0.00018752
                     68,                0.84059,                0.96197,                 1.1236,                0.59175,                0.59375,                0.74378,                0.52826,                 1.4392,                 1.7214,                 1.6565,             0.00018231,             0.00018231,             0.00018231
                     69,                0.88636,                  1.019,                 1.1617,                0.62224,                0.68519,                0.74074,                0.53552,                 1.3821,                 1.7074,                 1.6913,              0.0001771,              0.0001771,              0.0001771
                     70,                0.88579,                 1.0519,                  1.158,                0.76927,                0.52341,                0.67117,                0.46573,                 1.4059,                 1.7352,                 1.7145,              0.0001719,              0.0001719,              0.0001719
                     71,                0.81944,                0.97919,                 1.1181,                0.80871,                0.49193,                0.65633,                0.47984,                 1.2989,                  1.618,                 1.6447,             0.00016669,             0.00016669,             0.00016669
                     72,                0.83028,                0.94367,                 1.1196,                 0.5632,                0.69599,                0.71258,                0.50521,                 1.4064,                 1.7354,                 1.6943,             0.00016148,             0.00016148,             0.00016148
                     73,                0.87532,                 1.0245,                 1.1401,                0.88101,                0.47917,                 0.6493,                0.46334,                 1.4067,                   1.75,                 1.6623,             0.00015627,             0.00015627,             0.00015627
                     74,                0.85582,                0.99749,                 1.1403,                0.91388,                0.49366,                 0.7003,                0.46103,                 1.4508,                 1.7251,                 1.6736,             0.00015107,             0.00015107,             0.00015107
