                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.0199,                 1.1592,                 1.2286,                0.69057,                0.44567,                0.54279,                0.27745,                 1.6412,                 2.1732,                 1.7605,              0.0096733,              0.0096733,              0.0096733
                     69,                 1.0246,                 1.1626,                 1.2328,                0.67195,                0.55432,                0.54803,                0.27101,                 1.6859,                 2.1061,                 1.8026,              0.0096684,              0.0096684,              0.0096684
                     70,                 1.0543,                 1.2123,                 1.2279,                0.54627,                0.57089,                0.57205,                0.29046,                 1.6534,                 1.8763,                 1.7671,              0.0096634,              0.0096634,              0.0096634
                     71,                 1.0556,                 1.2076,                 1.2458,                0.53003,                0.58081,                0.56147,                0.28639,                  1.651,                 1.8451,                 1.7838,              0.0096585,              0.0096585,              0.0096585
                     72,                 1.0195,                 1.1911,                 1.2232,                0.56849,                0.58826,                  0.527,                0.25266,                 1.6789,                 2.0928,                 1.7593,              0.0096535,              0.0096535,              0.0096535
                     73,                 1.0135,                 1.1157,                  1.205,                0.72224,                0.50586,                0.50959,                0.27641,                 1.6377,                  2.091,                 1.7468,              0.0096486,              0.0096486,              0.0096486
                     74,                0.99125,                 1.1066,                 1.1859,                0.42574,                0.56663,                0.52383,                0.30294,                 1.6009,                 1.9557,                 1.7687,              0.0096436,              0.0096436,              0.0096436
                     75,                 1.0147,                 1.1743,                 1.2381,                0.72242,                0.52489,                0.50291,                0.27496,                 1.6816,                 1.9935,                  1.831,              0.0096387,              0.0096387,              0.0096387
                     76,                0.98165,                 1.1348,                 1.1906,                0.73971,                0.53559,                0.50616,                 0.2467,                 1.6488,                 1.9274,                 1.7555,              0.0096337,              0.0096337,              0.0096337
                     77,                  0.993,                 1.0795,                 1.2083,                 0.3773,                0.52992,                0.47998,                 0.2484,                 1.7498,                 2.1664,                 1.8337,              0.0096288,              0.0096288,              0.0096288
                     78,                 1.0098,                 1.1212,                 1.2021,                0.64288,                0.47042,                0.49466,                0.26996,                 1.7553,                 2.1102,                 1.8462,              0.0096238,              0.0096238,              0.0096238
                     79,                 1.0243,                  1.127,                 1.2103,                0.52193,                0.49665,                0.49544,                0.27746,                 1.6917,                  2.044,                 1.8149,              0.0096188,              0.0096188,              0.0096188
                     80,                0.98161,                 1.1201,                 1.2044,                0.81352,                0.42579,                0.52591,                0.26769,                 1.6364,                 2.1316,                 1.7621,              0.0096139,              0.0096139,              0.0096139
                     81,                0.97936,                 1.1203,                  1.183,                0.60522,                0.54225,                0.52138,                0.23467,                 1.7396,                 2.1106,                 1.8895,               0.009609,               0.009609,               0.009609
